code,description
10649-2,Calicivirus Stl EM
106-5,Ceforanide Titr SBT
10650-0,Candida DNA Bld Ql Probe amp
10651-8,C pneum Ag Spt/Bro Ql
1065-2,Deprecated I NOS Ag RBC Donr Ql
10652-6,C pneum DNA Spt/Bro Ql Probe amp
10653-4,Clotrimazole Islt MIC
10654-2,Clotrimazole Islt MLC
10655-9,Coccidia Duod fl Acid fast Stn
10656-7,Coccidia Stl Acid fast Stn
10657-5,Deprecated C neoform Ag Tiss Ql IF
10658-3,Cyanobacterium Wat Micro
10659-1,Cyclospora Stl Acid fast Stn
1066-0,Deprecated I NOS Ag RBC Ql
10660-9,CMV Ag Tiss Ql ImStn
10661-7,Dinoflagellate Wat Micro
10662-5,Filaria Bld Conc
10663-3,Filaria Bld Thick Film
10664-1,Filaria Bld Thin Film
10665-8,Fungus CC # Spec Envir Cult
10666-6,Fungus Tiss FM Stn
10667-4,Fungus Spec Anim Inoc
10668-2,Fungus Spec Envir Cult
10669-0,Fungus Spec Envir Fungus Tape
10670-8,G lamblia Stl Ql Cult
10671-6,Worm Spec
10672-4,Worm+Insect Spec
10673-2,HBV core Ag Tiss Ql ImStn
10674-0,HBV surface Ag Tiss Ql ImStn
10675-7,HBV surface Ag Tiss Ql Orcein Stn
10676-5,HCV RNA SerPl Probe amp-aCnc
10677-3,HSV1 Ag Tiss Ql ImStn
1067-8,Jk sup(a) Ab SerPl BPU Ql
10678-1,HSV1+2 Ag Tiss Ql ImStn
10679-9,HSV2 Ag Tiss Ql ImStn
10680-7,HSV CSF EM
10681-5,HSV Tiss EM
10682-3,Deprecated HIV1 RNA SerPl Amp Prb-aCnc
10683-1,Hydatid Cyst Aspirate ImStn
10684-9,Hydatid Cyst Liver Wet Prep
10685-6,Hydatid Cyst Lung tiss Wet Prep
1068-6,Jk sup(a) Ab SerPl Donr Ql
10686-4,Leishmania Tiss Gie Stn
10687-2,Leishmania Tiss Cult
10688-0,KOH Prep Hair
10689-8,KOH Prep Nail
10690-6,Microsporid Duod fl Mod Tri Stain
10691-4,Toxic mushroom identified
10692-2,Toxic Mushroom Food Micro
10693-0,Toxic Mushroom Vom Micro
1069-4,Jk sup(a) Ab SerPl Ql
10694-8,Naegleria Tiss Cult
10695-5,Naegleria Tiss Wet Prep
10696-3,Norovirus Stl EM
10697-1,Nystatin Islt MIC
10698-9,Nystatin Islt MLC
10699-7,Onchocerca Tiss Wet Prep
10700-3,Orthopoxvirus Skin EM
10701-1,O+P Stl Conc
1070-2,Jk sup(a) Ag RBC BPU Ql
10702-9,O+P Stl ImStn
10703-7,O+P Stl Kinyoun IH Stn
10704-5,O+P Stl Micro
10705-2,HPV Ag Tiss Ql ImStn
10706-0,Picornavirus Stl EM
10707-8,Toxic plant. Identified
10708-6,Toxic Plant Vom Micro
10709-4,P falciparum Ag Bld IF-aCnc
1071-0,Jk sup(a) Ag RBC Donr Ql
10710-2,Plasmodium Bld Thin Film
10711-0,P vivax Ag Bld IF-aCnc
10712-8,Pneumocystis Lung tiss
10713-6,Prototheca Spec Cult
10714-4,Deprecated RV Stl EM
10715-1,Schistosoma UrnS Micro
10716-9,Schistosoma Spec Cult
10717-7,S pneum Ab Ser LA-aCnc
10718-5,Strongyloides Ab Ser IA-aCnc
10719-3,T sol adult Ab Ser IB-aCnc
10720-1,Terbinafine Islt MIC
10721-9,Terbinafine Islt MLC
10722-7,Torovirus Stl EM
10723-5,T gondii IgA Ser IA-aCnc
10724-3,T gondii IgE Ser IA-aCnc
10725-0,T gondii DNA Fld Probe amp-aCnc
10726-8,T gondii Tiss Ql Gie Stn
10727-6,T gondii Tiss
1072-8,Jk sup(a) Ag RBC Ql
10728-4,Trichomonas Genital Cult
10729-2,Trypanos Bld Smear
107-3,Cefotaxime Islt MLC
10730-0,Trypanos Bld Cult
10731-8,Trypanos Bld Thick Film
10732-6,Trypanos Bld Thin Film
10733-4,Trypanos Bld Wet Prep
10734-2,VZV Skin EM
10735-9,Viral Seq Ser Seq
1073-6,Jk sup(b) Ab SerPl BPU Ql
10736-7,Virus CSF EM
10737-5,Virus Stl EM
10738-3,Virus Tiss EM
10739-1,Virus Spec EM
10740-9,Aluminum Bone Histomorph Stn
10741-7,AL Brain TFS Stn
10742-5,AL Tiss Puchtler Mod Benn Stn
10743-3,AL Tiss Highman Stn
1074-4,Jk sup(b) Ab SerPl Donr Ql
10744-1,AL Tiss Vassar-Culling Stn
10745-8,Bile Tiss Fouchet Stn
10746-6,Calcium Tiss von Kossa Stn
10747-4,Collagen+Elastic Tiss LVG Stn
10748-2,Collagen+Elastic Tiss VVG Stn
10749-0,Collagen Tiss VG Stn
10750-8,Conn Tiss Masson Tri Stn
1075-1,Jk sup(b) Ab SerPl Ql
10751-6,Copper Tiss Rhodamine Stn
10752-4,Fat Mlk Sudan IV Stn
10753-2,Fat Stl Sudan IV Stn
10754-0,Fat Tiss Sudan IV Stn
10755-7,Fungus Tiss Grocott MS Stn
10756-5,Glial Fibers Tiss Holzer Stn
10757-3,Hem+Nuc Elem Tiss MGG Stn
10758-1,Iron Bone Histomorph Stn
10759-9,Iron Spt Gomori Stn
10760-7,Iron Tiss Gomori Stn
10761-5,Iron Tiss Other Stn
10762-3,Hemosiderin Stn Bld
10763-1,Sudan Black Stn Fld
10764-9,Silv Stn Spt
10765-6,AE Stn Tiss
10766-4,AB Stn Tiss
10767-2,Sulf-AB Stn Tiss
10768-0,AB-PAS Stn Tiss
1076-9,Jk sup(b) Ag RBC BPU Ql
10769-8,AR-S Stn Tiss
10770-6,Argentaffin Stn Tiss
10771-4,Deprecated Rhodamine-auramine Stn Tiss
10772-2,Azure-Eosin Stn Tiss
10773-0,BF Stn Tiss
10774-8,Bielschowsky Stn Tiss
10775-5,Bleach Stn Tiss
10776-3,Bodian Stn Tiss
1077-7,Jk sup(b) Ag RBC Donr Ql
10777-1,Brown + Brenn Stn Tiss
10778-9,BE Stn Tiss
10779-7,Carmine Best Stn Tiss
10780-5,CAE Stn Tiss
10781-3,Churukian-Schenk Stn Tiss
10782-1,CR Stn Tiss
10783-9,CV Stn Tiss
10784-7,NSE Stn Tiss
1078-5,Jk sup(b) Ag RBC Ql
10785-4,Fite-Faraco Stn Tiss
10786-2,Deprecated Gie Stn 3 micron Tiss
10787-0,Gridley Stn Tiss
10788-8,Hansel Stn Tiss
10789-6,H+E Stn Harris Regr Tiss
10790-4,H+E Stn Mayers Progr Tiss
10791-2,Mallory-Heidenhain Stn Tiss
10792-0,Jones MS Stn Tiss
1079-3,Js sup(a) Ab SerPl BPU Ql
10793-8,MG Stn Tiss
10794-6,MG-Pyronine Y Stn Tiss
10795-3,MV Stn Tiss
10796-1,Mucicarm Stn Tiss
10797-9,NR Stn Tiss
10798-7,ORO Stn Tiss
10799-5,Movat Pentachrome Stn Tiss
10800-1,PAS Stn w Diastase Digest Tiss
1080-1,Js sup(a) Ab SerPl Donr Ql
10801-9,PTAH Tiss
10802-7,Prussian Blue Stn Tiss
10803-5,Quinacrine Fluor Stn Tiss
10804-3,Ret Stn Tiss
10805-0,Safranin Stn Tiss
10806-8,Sch Stn Tiss
10807-6,Sevier-Munger Stn Tiss
10808-4,Silv Impreg Stn Dieterle Tiss
10809-2,Silv Nitrate Stn Tiss
108-1,Cefotaxime Islt MIC
10810-0,FM Silv Stn Tiss
10811-8,Grimelius Silv Stn Tiss
10812-6,Steiner Stn Tiss
10813-4,Sudan Black Stn Tiss
10814-2,SV Stn Tiss
10815-9,Tetrachrome Stn Tiss
10816-7,Deprecated TBO Stn Tiss
10817-5,Gomori-Wheatley Tri Stn Tiss
10818-3,Mod Masson Tri Stn Tiss
1081-9,Js sup(a) Ab SerPl Ql
10819-1,Wade Stn Tiss
10820-9,Deprecated WS Stn Tiss
10821-7,Deprecated Wright Gie Stn Tiss
10822-5,Mucin Tiss Mayer Mucicarm Stn
10823-3,MPS Tiss Hale Colloid Fe Stn
10824-1,Myelin+BDP Tiss LFB/PAS Stn
10825-8,Myelin+Nerves Tiss LFB/CV Stn
10826-6,Nissel Tiss CEV Stn
1082-7,Js sup(a) Ag RBC BPU Ql
10827-4,Reticulum Tiss Gomori Stn
10828-2,Urate Cry Tiss de Galantha Stn
10829-0,Silicon SerPl-mCnc
10830-8,DeprecatedSurgical operation note compli
10831-6,Operative note complications Imp
10832-4,Glucose 15M p 50 g Lac PO SerPl-mCnc
10833-2,Insulin 7h p 75 g Glc PO SerPl-mCnc
10834-0,Globulin Ser Calc-mCnc
1083-5,Js sup(a) Ag RBC Donr Ql
10835-7,LPa SerPl-mCnc
10836-5,Niacin Bld-mCnc
10837-3,Organic Acids SerPl Ql
10838-1,Phosphoserine SerPl-mCnc
10839-9,Troponin I SerPl-mCnc
10840-7,Atropine Ur-mCnc
10841-5,methazolAMIDE SerPl-mCnc
10842-3,Deprecated HLA-DQ1 Ql
1084-3,Js sup(a) Ag RBC Ql
10843-1,Deprecated HLA-DQ2 Ql
10844-9,Deprecated HLA-DQ3 Ql
10845-6,Deprecated HLA-DQ4 Ql
10846-4,B burgdor DNA Bld Ql Probe amp
10847-2,B burgdor DNA Fld Ql Probe amp
10848-0,Chlamydia IgG Titr Ser IF
10849-8,Chlamydia IgM Titr Ser IF
1085-0,Js sup(b) Ab SerPl BPU Ql
10850-6,C cayetanensis Spec Ql
10851-4,E coli O157H7 Stl Ql Cult
10852-2,Deprecated Fungus Bld
10853-0,I belli Spec Ql Acid fast Mod Kiny Stn
10854-8,Deprecated Microfilaria Bld Conc
10855-5,O+P Duod or Gastric fl Micro
10856-3,Gram Stn Genital mucus
10857-1,Microsporid Spec Micro
10858-9,Teichoate Ab Ser Ql
10859-7,Trypanos Bld AO+Gie Stn
10860-5,VZV Spec Ql Cult
10861-3,PR Tiss-mCnt
10862-1,BM Ab Titr Ser
10863-9,Endomysium IgA Titr Ser
10864-7,IC SerPl Raji Cell-aCnc
10865-4,ICS Ab Ser Ql
10866-2,Sulfatide IgG Titr Ser
10867-0,Sulfatide IgM Titr Ser
1086-8,Js sup(b) Ab SerPl Donr Ql
10868-8,Bacitracin Islt KB
10869-6,Xylose 3h p 25 g Xyl PO Bld-mCnc
10870-4,Xylose 4h p 25 g Xyl PO Bld-mCnc
10871-2,Xylose 5h p 25 g Xyl PO Bld-mCnc
10872-0,Xylose BS Bld-mCnc
10873-8,B2 Microglob 24h Ur-mRate
10874-6,Bombesin Plas-mCnc
10875-3,Carn esters Ur-mCnc
1087-6,Js sup(b) Ab SerPl Ql
10876-1,Carn esters SerPl-mCnc
10877-9,Carnitine Free Ur-mCnc
10878-7,PB Iodine SerPl-mCnc
10879-5,Isovalerylgly Ur-mCnc
10880-3,Magnesium Stl-mCnt
10881-1,Penta-CP RBC-mCnc
10882-9,Penta-CP SerPl-mCnc
10883-7,Phenolphthalein Stl-mCnt
1088-4,Js sup(b) Ag RBC BPU Ql
10884-5,Phosphate Stl-mCnt
10885-2,Porphyrins 24h Ur-mRate
10886-0,PSA Free SerPl-mCnc
10887-8,PYD 24h Ur-mRate
10888-6,Lipase Ur-cCnc
10889-4,Bisacodyl Stl-mCnt
10890-2,Deprecated Normethsuximide Ser-mCnc
10891-0,Oxyphenisatin Stl-mCnt
1089-2,Js sup(b) Ag RBC Donr Ql
10892-8,Pentoxifylline SerPl-mCnc
10893-6,Trenbolone Ur-mCnc
10894-4,A niger Ab Ser Ql ID
10895-1,C diff Tox B Stl Ql
10896-9,EEEV IgG Titr Ser IF
10897-7,EEEV IgG Titr CSF IF
10898-5,EEEV IgM Titr Ser IF
10899-3,EEEV IgM Titr CSF IF
10-9,Amdinocillin Titr SBT
1090-0,Js sup(b) Ag RBC Ql
10900-9,HBV surface Ab Ser Ql IA
10901-7,HIV2 gp125 Ab Ser Ql IB
10902-5,HIV2 gp36 Ab Ser Ql IB
10903-3,Hyaluronidase Ab Titr Ser
10904-1,LACV IgG Titr Ser IF
10905-8,LACV IgM Titr Ser IF
10906-6,SLEV IgG Titr Ser IF
10907-4,SLEV IgM Titr Ser IF
10908-2,Deprecated S pneum7 IgG Ser IA-aCnc
10909-0,Benzidine Ur-mCnc
10910-8,Borate Ur-mCnc
10911-6,Dichlorobenzidine Ur-mCnc
10912-4,Lead SerPl-mCnc
10913-2,"4,4'-MBOCA Ur-mCnc"
10914-0,Me-enediam Ur-mCnc
10915-7,PCP Spec-mCnc
10916-5,Platinum Bld-mCnc
10917-3,Zinc Stl-mCnt
1091-8,K Ab SerPl BPU Ql
10918-1,Zinc Spec-mCnc
10919-9,Anisakis IgE Qn
10920-7,Bamboo shoot IgE Qn
10921-5,B tropicalis IgE Qn
10922-3,BSA IgE Qn
10923-1,Bromelin IgE Qn
10924-9,Starfruit IgE Qn
10925-6,Chub Mackerel IgE Qn
1092-6,K Ab SerPl Donr Ql
10926-4,Deer Epith IgE Qn
10927-2,Elk Meat IgE Qn
10928-0,Fennel Fresh IgE Qn
10929-8,Fennel Seed IgE Qn
10930-6,Fish Feed IgE Qn
10931-4,Daphnia IgE Qn
10932-2,Tetramin IgE Qn
10933-0,Guar gum IgE Qn
1093-4,K Ab SerPl Ql
10934-8,Guava IgE Qn
10935-5,Horse Serum Prot IgE Qn
10936-3,Mare Milk IgE Qn
10937-1,Marjoram IgE Qn
10938-9,Med flour moth IgE Qn
10939-7,Whiff IgE Qn
10940-5,Cow Milk Boiled IgE Qn
10941-3,Milk Powder IgE Qn
1094-2,K Ag RBC BPU Ql
10942-1,Cockspur IgE Qn
10943-9,Mink Epith IgE Qn
10944-7,Octopus IgE Qn
10945-4,Papain IgE Qn
10946-2,Passion fruit IgE Qn
10947-0,Persimmon IgE Qn
10948-8,Pigeon Feather IgE Qn
10949-6,M furfur IgE Qn
10950-4,Reindeer Epith IgE Qn
10951-2,Sericin IgE Qn
10952-0,Swine Urine Prot IgE Qn
10953-8,Timothy IgG Qn
10954-6,Pine Nut IgE Qn
10955-3,Long Leaf Pine IgE Qn
10956-1,Short Leaf Pine IgE Qn
10957-9,Slash Pine IgE Qn
10958-7,Virg Scrub Pine IgE Qn
1095-9,K Ag RBC Donr Ql
10959-5,Plaice IgE Qn
10960-3,Rabbit Serum Prot IgE Qn
10961-1,Rabbit Urine Prot IgE Qn
10962-9,Deprecated Sagbrsh IgE Qn
10963-7,S citrovirens IgE Qn
10964-5,17OHP 15M p 250 ug ACTH IM SerPl-mCnc
10965-2,17OHP 30M p 250 ug ACTH IM SerPl-mCnc
10966-0,Glucose 2.5h p 75 g Glc PO Ur Ql Strip
1096-7,K Ag RBC Ql
10967-8,Glucose 3.5h p 75 g Glc PO Ur Ql Strip
10968-6,Glucose 4.5h p 75 g Glc PO Ur Ql Strip
10969-4,Cys+HCys Ur Ql
10970-2,Gal1PUT Bld-cCnc
10971-0,Lysozyme Ur-mCnc
10972-8,Organic Acids Ur-mCnc
10973-6,3Me-O-desmethylencainide SerPl-mCnc
10974-4,5-fluorocytosine Ur-mCnc
1097-5,Kp sup(a) Ab SerPl BPU Ql
10975-1,6MAM Ur-mCnc
10976-9,6MAM Ur Ql
10977-7,Alpraz Bld-mCnc
10978-5,Amitrip+Nor Ur-mCnc
10979-3,Carisoprodol Ur-mCnc
10980-1,Cephapirin SerPl-mCnc
10981-9,cloNIDine Ur-mCnc
10982-7,Demeclocycline SerPl-mCnc
1098-3,Kp sup(a) Ab SerPl Donr Ql
10983-5,NOMO SerPl-mCnc
10984-3,Dicloxacillin SerPl-mCnc
10985-0,Doxapram SerPl-mCnc
10986-8,Doxycycline SerPl-mCnc
10987-6,Fluconazole SerPl-mCnc
10988-4,fluvoxaMINE SerPl-mCnc
10989-2,Itraconaz SerPl-mCnc
109-9,Cefotaxime Islt KB
10990-0,Ketoconazole SerPl-mCnc
1099-1,Kp sup(a) Ab SerPl Ql
10991-8,metroNIDAZOLE SerPl-mCnc
10992-6,Norclozapine SerPl-mCnc
10993-4,Nafcillin SerPl-mCnc
10994-2,Naltrexone SerPl-mCnc
10995-9,Neomycin SerPl-mCnc
10996-7,Normeperidine SerPl-mCnc
10997-5,O-desmethylencainide SerPl-mCnc
10998-3,oxyCODONE Ur Ql
10999-1,PMO SerPl-mCnc
11000-7,Promethazine Ur Ql
11001-5,PZA SerPl-mCnc
11002-3,Scopolamine Ur Ql
11003-1,Ticlopidine SerPl-mCnc
11004-9,Tricyclics Ur Ql
11005-6,Trimethoprim SerPl-mCnc
11006-4,B burgdor Ab Ser Ql
1100-7,Kp sup(a) Ag RBC BPU Ql
11007-2,B burgdor Ag Ur-aCnc
11008-0,CMV IgG Titr CSF IF
11009-8,EBV VCA IgG Titr CSF IF
11010-6,EBV VCA IgM Titr CSF IF
11011-4,HCV RNA SerPl NAA+probe-aCnc
11012-2,Reovirus Ab Titr Ser CF
11013-0,dsDNA Ab Titr Ser
11014-8,GH Ab Titr SerPl
1101-5,Kp sup(a) Ag RBC Donr Ql
11015-5,GHBP SerPl-sCnc
11016-3,NSE Stn Bld/Mar
11017-1,CAE Stn Bld/Mar
11018-9,Peroxidase Stn Bld/Mar
11019-7,Sudan Black B Stn Bld/Mar
11020-5,TRAP Stn Bld/Mar
11021-3,TdT Stn Bld/Mar
11022-1,Barbiturates Mec-mCnc
1102-3,Kp sup(a) Ag RBC Ql
11023-9,Benzodiaz Mec-mCnc
11024-7,Benzodiaz SerPl-mCnc
11025-4,Methadone Mec-mCnc
11026-2,Methaqualone Mec-mCnc
11027-0,Propoxyph Mec-mCnc
11028-8,Zinc Fld-mCnc
11029-6,Consistency Stl
11030-4,A fumigatus+A niger IgE Qn
1103-1,Kp sup(b) Ab SerPl BPU Ql
11031-2,Lymphocytes/leuk NFr Fld
11032-0,Glucose 45M p 50 g Lac PO SerPl-mCnc
11033-8,TSH 45M p TRH IV SerPl-mCnc
11034-6,AChR Bind Ab Ser-sCnc
11035-3,Adenylate kinase RBC-cCnc
11036-1,Deprecated Aldolase RBC-cCnc
11037-9,A-NAGA SerPl-cCnc
11038-7,Beta+Gamma Tocopherol SerPl-mCnc
11039-5,CRP SerPl Ql
11040-3,Cortis F Ur-mCnc
11041-1,Creat p dialysis SerPl-mCnc
11042-9,Creat pre dial SerPl-mCnc
11043-7,Cryofib Plas Ql
11044-5,DPGM RBC-cCnc
11045-2,Enolase RBC-cCnc
11046-0,Epineph Ur-mCnc
11047-8,GPI RBC-cCnc
11048-6,GAPD RBC-cCnc
1104-9,Kp sup(b) Ab SerPl Donr Ql
11049-4,Deprecated OH-Proline Ur-mCnc
11050-2,Kappa LC SerPl-mCnc
11051-0,Lambda LC SerPl-mCnc
11052-8,Ketamine Ur-mCnc
11053-6,LDH RBC-cCnc
11054-4,LDLc/HDLc SerPl
11055-1,Melatonin SerPl-mCnc
1105-6,Kp sup(b) Ab SerPl Ql
11056-9,Melatonin 24h Ur-vRate
11057-7,MPGM RBC-cCnc
11058-5,PFK RBC-cCnc
11059-3,PGK RBC-cCnc
11060-1,Reducing Subs Stl Ql
11061-9,11-dehydro TBX2 24h Ur-mRate
11062-7,T4 Alb Bnd SerPl-mCnc
11063-5,TPI RBC-cCnc
1106-4,Kp sup(b) Ag RBC BPU Ql
11064-3,BUN p dialysis SerPl-mCnc
11065-0,BUN pre dial SerPl-mCnc
11066-8,URO-S RBC-cCnc
11067-6,Bleeding time Patient
11068-4,Cyto Fld
11069-2,Cyto Gast
110-7,Cefotaxime Titr SBT
11070-0,Cyto Ur
11071-8,Butalbital Ur-mCnc
1107-2,Kp sup(b) Ag RBC Donr Ql
11072-6,Des-Pr-fentanyl SerPl-mCnc
11073-4,Des-Pr-fentanyl Ur-mCnc
11074-2,Norfentanyl SerPl-mCnc
11075-9,Norfentanyl Ur-mCnc
11076-7,HCV5-1-1 Ab Ser Ql IB
11077-5,HCV SOD Ab Ser Ql IB
11078-3,HIV2 gp80 Ab Ser Ql IB
11079-1,HIV2 p26 Ab Ser Ql IB
1108-0,Kp sup(b) Ag RBC Ql
11080-9,HIV2 p53 Ab Ser Ql IB
11081-7,HIV2 p56 Ab Ser Ql IB
11082-5,HIV2 p68 Ab Ser Ql IB
11083-3,HPV Cvx
11084-1,Reagin Ab Titr Ser
11085-8,Schistosoma Stl Conc
11086-6,S pneum Ag Ser Ql
11087-4,Insulin Ab Titr Ser
11088-2,Hu Ab Ser Ql
11089-0,Hu Ab CSF Ql
11090-8,ENA SM Ab Ser-aCnc
11091-6,A-Chlordane SerPl-mCnc
11092-4,Barbiturates Hair-mCnt
11093-2,DDE SerPl-mCnc
11094-0,DDT SerPl-mCnc
11095-7,Dieldrin SerPl-mCnc
11096-5,G-Chlordane SerPl-mCnc
11097-3,Lindane SerPl-mCnc
1109-8,Deprecated Lb Ser Ql
11098-1,Malaoxon SerPl-mCnc
11099-9,Methoxychlor SerPl-mCnc
11100-5,TTCE Bld-mCnc
11101-3,Bacteria Snv HPF-#/area
11102-1,CL Cry Spec Tri Stn
11103-9,Neuts Band NFr Mar Manual
11104-7,Baso Normoblasts NFr Mar Manual
11105-4,Basophils NFr Mar Manual
1110-6,Le sup(a) Ab SerPl BPU Ql
11106-2,Eosinophil NFr Mar Manual
11107-0,Variant Lymphs NFr Mar Manual
11108-8,Lymphocytes NFr Mar Manual
11109-6,Masts NFr Mar Manual
11110-4,Megakaryocytes NFr Mar Manual
11111-2,Metamyelocytes NFr Mar Manual
11112-0,Monocytes NFr Mar Manual
11113-8,Myeloblasts NFr Mar Manual
1111-4,Le sup(a) Ab SerPl Donr Ql
11114-6,Myelocytes NFr Mar Manual
11115-3,Neutrophils NFr Mar Manual
11116-1,Ortho Normoblasts NFr Mar Manual
11117-9,Imm Plasma Cells NFr Mar Manual
11118-7,Plasma Cells NFr Mar Manual
11119-5,Poly Normoblasts NFr Mar Manual
11120-3,Promyelocytes NFr Mar Manual
11121-1,Prolymphocytes NFr Mar Manual
1112-2,Le sup(a) Ab SerPl Ql
11122-9,Promonycytes NFr Mar Manual
11123-7,Deprecated Promyelocytes Fr Mar Micro
11124-5,Pronormoblasts NFr Mar Manual
11125-2,Plat morph Bld
11126-0,Platelet Mar
11127-8,RBC Mar
11128-6,Neuts Seg NFr Mar
11129-4,Pronormoblasts # Bld
1113-0,Le sup(a) Ag RBC BPU Ql
11130-2,B Lymphocytes # Bld
11131-0,Deprecated Erythroblasts early Fr Mar
11132-8,Deprecated Bilirub Fld-mCnc
11133-6,FCA Ur-mCnc
11134-4,Appearance spun Fld
11135-1,Appearance spun CSF
11136-9,Deprecated Erythroblasts late Fr Mar
11137-7,Deprecated Erythroblasts mid Fr Mar
11138-5,Myeloid cells/Erythroid Cells Mar
11139-3,Metaneph Ur-mCnc
11140-1,Metaneph 24h Ur-sRate
11141-9,Phosphate/Creat Ur
11142-7,Glucose 15M p 100 g Glc PO SerPl-mCnc
11143-5,Glucose 45M p 100 g Glc PO SerPl-mCnc
11144-3,HVA Ur-mCnc
11145-0,5OH-indoleacetate/Creat Ur
11146-8,HVA/Creat Ur
11147-6,Myoglobin/Creat Ur
1114-8,Le sup(a) Ag RBC Donr Ql
11148-4,Potassium/Creat Ur
11149-2,Sodium/Creat Ur
111-5,cefoTEtan Islt MLC
11150-0,Blasts NFr Mar
11151-8,Hct VFr BldCo
11152-6,Eosinophil NFr Mar
11153-4,Hct VFr Fld
11154-2,Cholinesterase Bld-cCnc
1115-5,Le sup(a) Ag RBC Ql
11155-9,Cortis/Creat Ur
11156-7,WBC morph Bld
11157-5,WBC Mar
11158-3,Appearance Ser
11159-1,Alkalase IgE Qn
11160-9,B-Lactoglob IgG Qn
11161-7,Wheat Bran IgE Qn
11162-5,Deprecated Cocoa IgE Qn
1116-3,Le sup(b) Ab SerPl BPU Ql
11163-3,Carageenan IgE Qn
11164-1,Cream Cheese IgE Qn
11165-8,Chinchilla IgE Qn
11166-6,C arcuatus IgE Qn
11167-4,Cockatiel Feather IgE Qn
11168-2,Arizona Cypress IgE Qn
11169-0,Deer Hair IgE Qn
11170-8,Dematiaceae IgE Qn
1117-1,Le sup(b) Ab SerPl Donr Ql
11171-6,Erythromycin IgE Qn
11172-4,Ferret Epith IgE Qn
11173-2,Fig IgE Qn
11174-0,Grain Weevel IgE Qn
11175-7,H sativum IgE Qn
11176-5,A-Lactalb IgG Qn
11177-3,B-Lactalb IgE Qn
11178-1,B-Galactosidase IgE Qn
11179-9,Linden IgE Qn
11180-7,Lupin IgE Qn
11181-5,Lycopodium IgE Qn
11182-3,Lysozyme IgE Qn
11183-1,Macadamia IgE Qn
11184-9,Scad IgE Qn
11185-6,Maxatase IgE Qn
11186-4,Foxtail Millet IgE Qn
11187-2,P frequentans IgE Qn
11188-0,Cayenne IgE Qn
1118-9,Le sup(b) Ab SerPl Ql
11189-8,Jalepeno Pepper IgE Qn
11190-6,Mint IgE Qn
11191-4,Pollock IgE Qn
11192-2,Protamine IgE Qn
11193-0,Pumpkin Seed IgE Qn
11194-8,Rape Poln IgE Qn
11195-5,Rapeseed IgE Qn
11196-3,Orange roughy IgE Qn
1119-7,Le sup(b) Ag RBC BPU Ql
11197-1,Sardine (pilchard) IgE Qn
11198-9,Shark IgE Qn
11199-7,Silver IgE Qn
11200-3,Escargot IgE Qn
11201-1,Succinylcholine IgE Qn
11202-9,Tarragon IgE Qn
11203-7,T pullulans IgE Qn
11204-5,U chartarum IgE Qn
1120-5,Le sup(b) Ag RBC Donr Ql
11205-2,Deprecated Paper Wasp IgE Qn
11206-0,18OH-DOC SerPl-mCnc
11207-8,AFP Fld-mCnc
11208-6,ANF Plas-mCnc
11209-4,B-Glucuronidase CSF-cCnc
11210-2,Cancer Ag125 Fld-aCnc
11211-0,CO2 Fld-sCnc
11212-8,Copro Ur-mCnc
1121-3,Le sup(b) Ag RBC Ql
11213-6,ACTH RH SerPl-mCnc
11214-4,Deprecated Creat Ur Ql
11215-1,D-ALA Ur-mCnc
11216-9,DPD Ur-mCnc
11217-7,Deprecated Hexapor 24h Ur-mRate
11218-5,Microalbumin Ur Test Str-mCnc
11219-3,BJ Protein Ser Ql
11220-1,Iodine Free 24h Ur-mRate
1122-1,Le sup(x) Ab SerPl BPU Ql
11221-9,Penta-CP Ur-mCnc
11222-7,Penta-CP Ur Ql
11223-5,Deprecated Phenolphthalein Ur Ql
11224-3,PETN CSF-mCnc
11225-0,Porphyrins Ur-mCnc
11226-8,Prorenin Plas-aCnc
11227-6,PK Bld Ql
11228-4,Uropor Ur-mCnc
11229-2,3-o-methyldopa SerPl-mCnc
112-3,cefoTEtan Islt MIC
11230-0,Amobarbital Ur-mCnc
11231-8,Astemizole SerPl-mCnc
11232-6,Bromocriptine SerPl-mCnc
11233-4,Brompheniramine SerPl-mCnc
11234-2,Propoxyph Hair-mCnt
11235-9,fentaNYL Ur Ql
11236-7,Gemfibrozil SerPl-mCnc
11237-5,hydrALAZINE SerPl-mCnc
11238-3,OH-Alpraz Ur-mCnc
1123-9,Le sup(x) Ab SerPl Donr Ql
11239-1,Deprecated hydrOXYzine Ur Ql
11240-9,hydrOXYzine Ur-mCnc
11241-7,Hyoscyamine SerPl-mCnc
11242-5,Mercaptopurine SerPl-mCnc
11243-3,Methadone Hair-mCnt
11244-1,Morphine Free SerPl-mCnc
11245-8,Deprecated Orphenadrine Ur Ql
11246-6,oxyCODONE Ur-mCnc
1124-7,Le sup(x) Ab SerPl Ql
11247-4,oxyMORphone Ur Ql
11248-2,Pergolide SerPl-mCnc
11249-0,Phenacemide SerPl-mCnc
11250-8,Phenylethylmalonate SerPl-mCnc
11251-6,Piroxicam SerPl-mCnc
11252-4,Scopolamine SerPl-mCnc
11253-2,Tacrolimus Bld-mCnc
1125-4,Le Ab SerPl BPU Ql
11254-0,C pneum Ab Titr Ser
11255-7,H ducreyi Spec Ql Cult
11256-5,Haem influ B IgG Ser-mCnc
11257-3,Haem influ B IgG Ser IA-mCnc
